FISCAL YEAR,MONTH,DOMESTIC INTEREST,FOREIGN INTEREST,WAGES & SALARIES,PENSIONS,OTHER,TOTAL RECURRENT EXPENDITURE,COUNTY TRANSFER,DEVELOPMENT EXPENDITURE,TOTAL EXPENDITURE
2020,3,223268.616,94548.34935,331864.3311,74145.72218,457670.2784,1181497.297,214784.8183,471960.0487,1868242.164
2020,4,255057,100598.7199,380117.0194,74502.08253,487019.8946,1297294.716,246871.3149,426550.3477,1970716.379
2020,5,285611.0947,112453.3165,421740.2852,76250.58062,549377.5522,1445432.829,263090.408,470374.7649,2178898.002
2020,6,315361.9427,121840.0895,449926.9467,89605.47873,668487.321,1645221.779,325278.0575,594943.6658,2565443.502
2020,7,27700.76436,15028.66851,26361.1195,3967.472619,15657.36083,88715.38581,908.0041239,4583.721283,94207.11122
2020,8,56781.03113,30339.04173,75222.239,13578.93085,75706.24333,251627.486,28021.59476,54222.44987,333871.5307
2020,9,81168.50518,34133.51785,118569.5353,26189.09572,99429.97533,359490.6294,28838.87298,122057.2755,510386.7779
2020,10,115684.6646,38127.69255,165444.478,30374.89047,152909.7964,502541.5221,81896.04163,137306.8633,721744.427
2020,11,154618.9023,51705.88355,206805.5975,32159.61604,192503.2423,637793.2417,108035.7131,185611.922,931440.8768
2020,12,186745.8586,61063.53013,238207.1174,53821.29762,283538.027,823375.8308,128690.8348,262777.5617,1214844.227
2021,1,218187.7371,62842.31718,289527.8365,49686.81493,315658.6136,935903.3194,164402.445,246798.4006,1347104.165
2021,2,255863.1946,70258.31622,330888.956,55414.76651,352309.1599,1064734.393,186868.355,275516.4321,1527119.18
2021,3,286105.5079,80182.53566,352074.8253,82672.02741,439828.8542,1240863.75,209870.6461,369948.0256,1820682.422
2021,4,318487.946,82974.49141,406696.0015,76360.38419,502621.4151,1387140.238,249046.1234,399474.9417,2035661.303
2021,5,360115.3432,97363.63141,448773.6815,78672.78902,546862.3834,1531787.829,273527.4573,436793.4418,2242108.728
2021,6,388829.5636,106312.3184,493913.5811,112975.4098,664925.9733,1766956.846,390809.4589,548531.2469,2706297.552
2021,7,38980.53485,11777.99604,40956.14978,4564.071131,41175.75058,137454.5024,967.4060576,6252.014114,144673.9226
2021,8,74051.20193,26862.78276,87685.37066,12902.10716,93776.59186,295278.0544,31462.42054,52459.21585,379199.6908
2021,9,101141.5105,30018.59318,126543.5637,27663.48365,168292.8678,453660.0187,61050,116952.0037,631662.0224
2021,10,141843.9595,33760.37111,175370.7413,31984.55503,230670.506,613630.1329,92500,150064.776,856194.909
2021,11,189410.3698,47825.06113,219213.4267,38148.61175,283129.3651,777726.8344,108457.802,192970.6268,1079155.263
2021,12,217281.8735,57296.14426,246980.6634,60724.97112,402923.7433,985207.3956,144983.3185,234688.5728,1364879.287
2022,1,253317.5281,73052.59946,306898.7973,61494.06735,421186.6247,1115949.617,171835.2828,256755.1094,1544540.009
2022,2,295920.5006,89305.95352,350741.4826,65206.09788,473715.8396,1274889.874,193653.4394,300874.2901,1769417.604
2022,3,332229.5478,92541.75427,386233.9408,94012.75819,585027.7666,1490045.768,216319.6714,362747.0631,2069112.502
2022,4,371286.7188,96150.61524,438515.9275,93856.54062,646362.0321,1646171.834,261000.9359,410488.2686,2317661.039
2022,5,427249.8845,111184.9488,482403.1499,103617.8669,708798.3177,1833254.168,286496.0241,440489.7452,2560239.937
2022,6,456848.6082,120811.74,520032.7734,122431.5818,914861.7472,2134986.451,352414.3146,535782.3821,3023183.147
2022,7,33487.2305,16206.41504,41130.11125,5563.806813,32995.37021,129382.9338,22992.45258,5583.340243,157958.7266
