FISCAL YEAR,MONTH,IMPORT DUTY,EXCISE DUTY,INCOME TAX,VAT,OTHER TAX INCOME,TOTAL TAX REVENUE,NON-TAX REVENUE,TOTAL REVENUE,PROGRAMME GRANTS,PROJECT GRANTS,TOTAL GRANTS
2018,4,"80,419.60","132,194.82","521,794.73","289,816.50","32,573.42","1,056,799.05","118,363.16","1,175,162.22",0,"23,695.88","23,695.88"
2018,5,"89,169.00","146,330.00","576,431.00","322,619.00","35,722.00","1,170,271.00","137,446.00","1,307,717.00",0,"25,660.33","25,660.33"
2018,6,"99,214.64","162,483.84","640,593.35","356,855.92","52,544.53","1,311,692.29","175,534.78","1,487,227.07",0,"27,600.14","27,600.14"
2018,7,"8,299.47","15,926.33","41,767.33","29,938.05","2,851.73","98,782.92","11,372.60","110,155.52",0,0,0
2018,8,"18,175.29","29,284.38","89,560.42","61,801.53","6,313.06","205,134.67","21,971.66","227,106.33",0,"1,496.27","1,496.27"
2018,9,"25,760.00","42,794.94","159,111.93","92,640.15","9,030.36","329,337.39","36,657.46","365,994.85",0,"3,578.05","3,578.05"
2018,10,"36,065.65","57,723.99","207,365.43","126,600.98","12,180.14","439,936.20","49,866.56","489,802.76",0,"6,428.35","6,428.35"
2018,11,"44,789.97","75,580.15","255,084.63","165,202.67","15,108.29","555,765.71","63,241.22","619,006.93",0,"8,187.20","8,187.20"
2018,12,"51,700.53","91,722.60","325,542.98","193,850.87","17,938.83","680,755.82","113,896.88","794,652.70",0,"8,828.68","8,828.68"
2019,1,"61,152.30","110,267.21","380,397.70","232,443.62","21,111.56","805,372.39","119,434.61","924,806.99",0,"9,441.75","9,441.75"
2019,2,"69,878.85","125,589.56","413,265.04","266,930.24","24,235.65","899,899.33","132,923.13","1,032,822.47",0,"12,302.83","12,302.83"
2019,3,"78,822.39","142,176.47","470,096.90","300,146.28","27,270.74","1,018,512.77","138,675.47","1,157,188.24",0,"16,833.93","16,833.93"
2019,4,"86,713.27","158,215.31","545,054.29","334,976.24","30,356.90","1,155,316.00","178,542.83","1,333,858.84",0,"18,935.68","18,935.68"
2019,5,"97,254.24","178,437.09","605,288.27","374,348.21","33,927.62","1,289,255.43","204,446.66","1,493,702.09",0,"20,385.30","20,385.30"
2019,6,107701.8254,196588.3191,685389.3233,413186.1136,37347.14752,1440212.729,204460.5881,1644673.317,0,30348.21567,30348.21567
2019,7,7548.54244,16332.53713,45844.81346,34260.92425,3117.877615,107104.6949,10029.78063,117134.4755,0,0,0
2019,8,16184.87055,31622.55188,95220.90572,68882.27043,6987.445073,218898.0437,18454.59126,237352.6349,0,2920.167922,2920.167922
2019,9,25729.00653,49724.62306,180720.6074,105779.2516,9498.320091,371451.8087,49707.05347,421158.8622,0,2802.211289,2802.211289
2019,10,34223.82587,67636.30604,241041.9237,140451.3418,13889.91783,497243.3152,61975.92725,559219.2424,0,8471.88266,8471.88266
2019,11,42860.32338,85839.67432,285276.8975,178096.8523,18481.38152,610555.129,122659.0415,733214.1706,0,9619.962077,9619.962077
2019,12,51551.24179,103376.5257,367428.7985,211544.0351,22748.20855,756648.8097,173725.3184,930374.1281,0,10147.40178,10147.40178
2020,1,61780.12032,123635.8985,416731.4136,245673.5042,26717.98544,874538.922,186959.4839,1061498.406,0,13535.79422,13535.79422
2020,2,69754.35019,140036.1116,456389.8359,275438.7323,30446.91432,972065.9443,203769.6942,1175835.639,0,14050.31507,14050.31507
2020,3,76931.09663,159490.8323,519713.802,305657.4462,34452.10029,1096245.277,235945.5625,1332190.84,0,13576.69568,13576.69568
2020,4,83099.56697,171019.3675,591244.3982,332238.9431,36953.79006,1214556.066,253832.266,1468388.332,0,13400.43504,13400.43504
2020,5,89247.52209,182082.298,638961.5949,354433.2319,39534.86037,1304259.507,279172.8325,1583432.34,0,18155.61766,18155.61766
2020,6,98022.23644,195269.8252,706936.3321,383713.1885,43565.98629,1427507.569,306123.5427,1733631.111,0,19819.74128,19819.74128
2020,7,6683.232462,15053.82399,42988.55276,26185.46457,3515.218973,94426.29275,10828.11066,105254.4034,0,0,0
2020,8,14350.76039,30997.93639,80632.6628,53574.91752,7690.071624,187246.3487,24612.94217,211859.2909,0,1375.575148,1375.575148
2020,9,23167.28665,47353.82876,151247.837,83062.40895,11942.79862,316774.16,61903.48839,378677.6484,0,3915.299221,3915.299221
2020,10,32069.85956,64454.46191,198206.8304,114144.8216,16415.94712,425291.9206,80019.21323,505311.1338,0,4404.746682,4404.746682
2020,11,40658.45766,83485.40029,234072.8523,144756.7773,20541.6806,523515.1681,100668.3384,624183.5065,0,5799.92785,5799.92785
2020,12,51799.20389,102779.3917,309238.5638,179072.5181,25803.32114,668692.9986,141859.028,810552.0266,0,8500.407278,8500.407278
2021,1,59921.31284,123051.7661,350582.7256,215787.1023,29926.90408,779269.8108,157774.1917,937044.0025,0,11101.85014,11101.85014
2021,2,69449.32909,144351.7415,398371.1005,253257.2194,34918.99839,900348.3889,179213.5777,1079561.967,0,13964.58559,13964.58559
2021,3,80135.26173,162057.0677,455286.6726,292229.1412,40778.58595,1030486.729,214799.7635,1245286.493,0,18350.89634,18350.89634
2021,4,89066.20585,180647.1203,542106.3526,330642.7677,45710.74979,1188173.196,235645.9178,1423819.114,0,26161.83694,26161.83694
2021,5,97724.62576,197061.7648,597548.6811,368273.9914,49867.97939,1310477.042,247710.959,1558188.001,0,28733.72239,28733.72239
2021,6,108375.1652,216324.9168,694052.5228,410758.3969,55248.68423,1484759.686,253624.9366,1738384.623,0,36888.05519,36888.05519
2021,7,7647.32829,16566.55682,55001.24673,38101.06719,4371.647132,121687.8462,13323.51183,135011.358,0,0,0
2021,8,16837.17027,37027.67601,104859.2139,78375.25704,9775.766898,246875.0842,30038.43365,276913.5178,0,135.0029628,135.0029628
2021,9,27067.51672,58428.18876,195471.5785,120378.3869,15020.01048,416365.6814,89936.02544,506301.7068,0,6655.421636,6655.421636
2021,10,35889.85872,78774.40097,253235.0548,159671.1481,20186.1624,547756.625,107899.8905,655656.5154,0,6984.289136,6984.289136
2021,11,46237.53285,100895.9322,310524.5477,203917.9369,25705.74048,687281.69,120927.0809,808208.7709,0,7378.860238,7378.860238
2021,12,56781.13397,123675.6623,406316.5788,249386.6987,31712.07681,867872.1505,164291.1635,1032163.314,0,11984.7666,11984.7666
2022,1,66456.63351,145985.2979,464926.0071,296291.9457,36836.39208,1010496.276,183004.971,1193501.247,0,12624.27251,12624.27251
2022,2,74989.9287,165290.0421,505436.6081,337469.6712,41908.40826,1125094.658,196717.3718,1321812.03,0,14019.75887,14019.75887
2022,3,84954.05903,185817.8792,580628.2839,382306.7714,47916.15217,1281623.146,239310.5361,1520933.682,0,20027.50412,20027.50412
2022,4,93711.2905,206353.2888,679153.7742,422196.4542,52948.37013,1454363.178,264504.1223,1718867.3,0,20892.66836,20892.66836
2022,5,104731.1049,229594.491,770250.4346,471724.7352,59594.21015,1635894.976,279728.6082,1915623.584,0,22039.28143,22039.28143
2022,6,118280.1741,252094.3786,876707.216,523097.6374,67041.76118,1837221.167,362586.6017,2199807.769,0,31031.15341,31031.15341
2022,7,9365.334944,17950.89775,57935.83793,39835.29627,5387.646758,130475.0136,15789.07269,146264.0863,0,0,0
